year,region,gender,mortality
2009,Одеська,Жінки,14.165515608350765
2010,Одеська,Жінки,14.331714506181372
2011,Одеська,Жінки,13.474898040834271
2012,Одеська,Жінки,13.337879498666608
2013,Одеська,Жінки,13.338335768729515
2014,Одеська,Жінки,13.615261607695906
2015,Одеська,Жінки,13.766030455889563
2016,Одеська,Жінки,13.471948770119708
2017,Одеська,Жінки,13.410742416984238
2018,Одеська,Жінки,13.394740822711748
2019,Одеська,Жінки,13.046005931670159
2020,Одеська,Жінки,13.93227324995545
2021,Одеська,Жінки,17.494764483991872
2005,Полтавська,Жінки,17.66906040758801
2006,Полтавська,Жінки,17.075911074679112
2007,Полтавська,Жінки,17.105210937810057
2008,Полтавська,Жінки,17.32131210062661
2009,Полтавська,Жінки,16.986093149543077
2010,Полтавська,Жінки,17.242018613964181
2011,Полтавська,Жінки,15.769121899576904
2012,Полтавська,Жінки,15.957072484166082
2013,Полтавська,Жінки,15.786587921557107
2014,Полтавська,Жінки,16.514599354824721
2015,Полтавська,Жінки,16.276655609144427
2016,Полтавська,Жінки,16.557834613253519
2017,Полтавська,Жінки,15.99144057522679
2018,Полтавська,Жінки,16.026334538353957
2019,Полтавська,Жінки,15.843669397031478
2020,Полтавська,Жінки,17.068281208319522
2021,Полтавська,Жінки,19.842941286322041
2005,Рівненська,Жінки,12.848116384007016
2006,Рівненська,Жінки,12.557892887691493
2007,Рівненська,Жінки,12.413291922810698
2008,Рівненська,Жінки,12.521515693072976
2009,Рівненська,Жінки,12.521573999436233
2010,Рівненська,Жінки,12.371895485181424
2011,Рівненська,Жінки,11.719541965355649
2012,Рівненська,Жінки,11.934310236067441
2013,Рівненська,Жінки,11.971242707079476
2014,Рівненська,Жінки,11.840968304711089
2015,Рівненська,Жінки,11.818500890569801
2016,Рівненська,Жінки,11.611949059582974
2017,Рівненська,Жінки,11.931293056547872
2018,Рівненська,Жінки,11.795800097244307
2019,Рівненська,Жінки,11.336019047148282
2020,Рівненська,Жінки,12.543851379178596
2021,Рівненська,Жінки,14.028119338645908
2005,Сумська,Жінки,17.4799546898252
2006,Сумська,Жінки,17.122845571657162
2007,Сумська,Жінки,17.208845835966748
2008,Сумська,Жінки,17.384057592186554
2009,Сумська,Жінки,17.005655600505413
2010,Сумська,Жінки,16.775399012380571
2011,Сумська,Жінки,15.553088573467608
2012,Сумська,Жінки,15.754266080580456
2013,Сумська,Жінки,16.123464278339874
2014,Сумська,Жінки,16.670629272693521
2015,Сумська,Жінки,16.254296153966269
